keyword_count,text_length,word_count,avg_word_length,url_count,email_count,exclamation_count,question_count,dollar_count
1,255,48,4.333333333333333,0,0,0,3,0
2,2757,554,3.9783393501805056,0,0,2,3,0
2,1189,286,3.160839160839161,0,0,16,0,0
1,1825,337,4.4183976261127595,0,0,0,3,0
2,712,134,4.32089552238806,0,0,3,0,0
0,725,137,4.299270072992701,0,0,0,0,0
1,862,164,4.262195121951219,0,0,0,1,0
1,603,114,4.298245614035087,0,0,1,0,0
1,138,23,5.043478260869565,0,0,0,0,0
1,888,228,2.8991228070175437,0,0,0,1,0
3,1620,285,4.687719298245614,0,0,7,6,0
0,882,178,3.960674157303371,0,0,0,0,0
0,98,19,4.2105263157894735,0,0,0,0,0
2,413,82,4.048780487804878,0,0,0,0,6
0,1204,218,4.527522935779817,0,0,0,0,0
1,1308,239,4.476987447698745,0,0,0,0,0
1,5077,893,4.686450167973124,0,0,0,2,3
2,3134,506,5.195652173913044,0,0,2,9,0
1,269,30,8.0,0,0,0,0,0
0,588,88,5.693181818181818,0,0,0,2,0
3,623,115,4.426086956521739,0,0,5,1,0
2,572,105,4.457142857142857,0,0,3,0,0
2,7205,1252,4.755591054313099,0,0,0,0,0
0,5,1,5.0,0,0,0,0,0
3,1025,172,4.965116279069767,0,0,5,1,1
0,858,140,5.135714285714286,0,0,2,0,0
1,332,70,3.757142857142857,0,0,6,1,1
0,128,28,3.607142857142857,0,0,0,0,0
3,643,118,4.4576271186440675,0,0,5,1,0
0,1403,254,4.52755905511811,0,0,0,0,3
0,216,36,5.027777777777778,0,0,11,0,0
0,62,12,4.25,0,0,0,0,0
1,400,55,6.290909090909091,0,0,0,0,0
3,2562,445,4.759550561797753,0,0,0,1,0
0,130,22,4.954545454545454,0,0,0,0,0
4,2591,437,4.931350114416476,0,0,0,1,35
2,2740,509,4.385068762278978,0,0,2,7,0
0,986,181,4.45303867403315,0,0,0,2,0
0,134,23,4.869565217391305,0,0,0,0,0
3,5385,902,4.971175166297117,0,0,0,3,1
0,2076,331,5.2749244712990935,0,0,0,0,0
1,664,125,4.32,0,0,0,0,0
1,1009,190,4.315789473684211,0,0,0,1,0
1,2138,373,4.734584450402145,0,0,0,1,0
1,823,144,4.722222222222222,0,0,0,2,0
0,296,56,4.303571428571429,0,0,0,3,0
6,6236,936,5.663461538461538,0,0,3,0,7
2,1330,202,5.589108910891089,0,0,0,0,0
2,3816,626,5.097444089456869,0,0,0,0,0
0,642,126,4.103174603174603,0,0,1,0,0
2,3706,619,4.988691437802908,0,0,0,0,0
3,2494,443,4.632054176072235,0,0,0,0,1
0,533,87,5.137931034482759,0,0,0,0,1
1,505,90,4.622222222222222,0,0,1,0,15
0,594,119,4.0,0,0,0,0,0
0,99,19,4.2631578947368425,0,0,0,0,0
1,2634,452,4.829646017699115,0,0,0,0,0
1,305,62,3.935483870967742,0,0,0,1,0
0,666,129,4.170542635658915,0,0,3,0,0
3,2896,501,4.782435129740519,0,0,0,0,0
1,1307,227,4.762114537444934,0,0,4,1,4
2,3812,636,4.995283018867925,0,0,2,0,0
0,150,25,5.04,0,0,0,0,0
1,1732,360,3.813888888888889,0,0,1,1,1
1,364,44,7.295454545454546,0,0,0,0,0
3,1348,228,4.916666666666667,0,0,11,0,2
0,377,62,5.096774193548387,0,0,0,0,0
2,1894,373,4.080428954423592,0,0,0,2,0
2,1759,311,4.659163987138264,0,0,0,0,0
2,1193,211,4.658767772511848,0,0,0,1,0
1,988,199,3.969849246231156,0,0,0,0,0
2,1634,274,4.967153284671533,0,0,6,1,0
1,2563,413,5.208232445520581,0,0,0,0,1
0,472,71,5.661971830985915,0,0,0,0,0
1,1739,312,4.576923076923077,0,0,0,0,0
0,933,178,4.247191011235955,0,0,0,2,0
2,914,153,4.980392156862745,0,0,0,0,0
0,316,59,4.372881355932203,0,0,0,0,0
3,4474,828,4.404589371980676,0,0,0,0,0
2,2155,333,5.474474474474475,0,0,0,0,1
2,986,221,3.4660633484162897,0,0,2,0,0
1,3250,564,4.76418439716312,0,0,0,0,3
2,1491,249,4.991967871485944,0,0,0,0,3
3,2369,402,4.895522388059701,0,0,2,0,1
1,5766,1401,3.116345467523198,0,0,7,2,10
1,2134,355,5.014084507042254,0,0,0,0,1
1,1301,224,4.8125,0,0,1,0,0
2,1736,369,3.707317073170732,0,0,0,1,0
3,526,99,4.3232323232323235,0,0,1,3,1
1,273,50,4.48,0,0,0,0,0
1,712,134,4.32089552238806,0,0,0,1,1
0,193,34,4.705882352941177,0,0,0,0,7
1,1499,253,4.928853754940712,0,0,0,0,0
2,4567,900,4.075555555555556,0,0,0,7,0
2,1712,335,4.113432835820896,0,0,0,0,0
1,822,147,4.598639455782313,0,0,0,2,0
3,787,161,3.8944099378881987,0,0,8,4,0
0,873,154,4.675324675324675,0,0,0,0,0
1,316,50,5.34,0,0,0,0,0
1,206,40,4.175,0,0,0,0,0
0,84,17,4.0,0,0,0,0,0
1,1583,277,4.718411552346571,0,0,0,0,0
2,2656,460,4.776086956521739,0,0,0,0,0
0,1944,338,4.754437869822485,0,0,0,0,0
1,255,47,4.446808510638298,0,0,0,0,0
1,340,66,4.166666666666667,0,0,0,0,0
1,300,50,5.02,0,0,0,0,0
4,2768,488,4.674180327868853,0,0,12,2,0
2,607,119,4.109243697478991,0,0,0,0,0
1,2001,383,4.227154046997389,0,0,0,0,1
1,157,25,5.32,0,0,0,0,0
0,1211,203,4.970443349753695,0,0,1,0,0
1,354,63,4.634920634920635,0,0,0,0,0
3,3245,561,4.786096256684492,0,0,0,0,0
1,720,202,2.5693069306930694,0,0,2,1,0
2,2819,381,6.4015748031496065,0,0,0,1,0
3,724,132,4.492424242424242,0,0,1,0,0
1,624,107,4.841121495327103,0,0,0,1,0
0,504,89,4.674157303370786,0,0,0,0,0
1,231,44,4.2727272727272725,0,0,0,0,0
2,1253,226,4.548672566371682,0,0,1,0,6
0,77,13,5.0,0,0,0,0,0
2,1387,254,4.464566929133858,0,0,0,0,0
1,1820,288,5.322916666666667,0,0,2,19,0
0,1087,184,4.913043478260869,0,0,0,0,0
4,4338,660,5.574242424242424,0,0,5,0,0
1,1679,317,4.299684542586751,0,0,1,4,0
0,360,79,3.569620253164557,0,0,0,0,0
4,907,162,4.604938271604938,0,0,6,1,1
0,936,198,3.7323232323232323,0,0,0,0,1
0,35,7,4.142857142857143,0,0,0,0,0
5,5710,969,4.893704850361197,0,0,8,2,2
3,724,134,4.41044776119403,0,0,1,0,0
2,748,141,4.3120567375886525,0,0,3,0,0
0,79,17,3.7058823529411766,0,0,0,0,0
1,349,68,4.147058823529412,0,0,1,2,0
1,863,166,4.204819277108434,0,0,0,0,0
0,5,1,5.0,0,0,0,0,0
2,824,149,4.5369127516778525,0,0,0,2,0
2,811,139,4.841726618705036,0,0,0,0,0
2,1978,341,4.803519061583578,0,0,0,0,0
0,2222,395,4.627848101265823,0,0,0,0,0
1,1662,306,4.434640522875817,0,0,45,0,0
5,3424,605,4.661157024793388,0,0,0,0,1
1,880,155,4.683870967741935,0,0,1,1,0
1,1188,202,4.8861386138613865,0,0,3,2,0
0,914,150,5.1,0,0,0,0,0
1,456,93,3.913978494623656,0,0,0,0,0
1,352,56,5.303571428571429,0,0,3,1,0
1,423,86,3.9302325581395348,0,0,0,9,1
1,162,32,4.09375,0,0,0,0,0
0,1025,203,4.054187192118227,0,0,5,0,0
1,1566,288,4.440972222222222,0,0,0,0,0
2,231,43,4.395348837209302,0,0,1,1,0
0,132,20,5.65,0,0,0,0,0
1,394,72,4.486111111111111,0,0,2,0,0
1,1388,287,3.8397212543554007,0,0,0,2,0
1,300,50,5.02,0,0,0,0,0
